Orçamento sem falhas,Nath Finanças,9786555601565,128,2021,99.19
Minha Sombria Vanessa,Kate Elizabeth Russell,9788551006276,432,2020,46.36
Recursão,Blake Crouch,9788551005378,320,2020,96.46
M o Filho do Século,Antonio Scurati,9788551006078,816,2020,95.18
Oblivion Song: Entre Dois Mundos,Robert Kirkman,9788551006252,136,2020,44.73
Não se humilha não,Isabela Freitas,9788551006092,320,2020,85.04
Os segredos que guardamos,Lara Prescott,9788551005675,368,2020,45.73
Baby Shark!,Stevie Lewis,9788551005842,32,2020,68.66
A Guerra Pela Uber,Mike Isaac,9788551006214,464,2020,46.05
Cidade nas Trevas,Adam Christopher,9788551006290,384,2020,46.89
Território Lovecraft,Matt Ruff,9788551006191,352,2020,92.66
A última porta,Scott Cawthon,9788551005989,336,2020,59.88
A Última Festa (e-Book),Lucy Foley,9788551005736,304,2020,60.32
Uma chance de lutar, Elizabeth Warren,9788551006313,400,2020,92.13
Uma Dor Tão Doce,David Nicholls,9788551005743,384,2020,52.1
DUPLICADO Este é o Mar,Mariana Enriquez,9788551005019,0,2020,45.66
A Última Festa,Lucy Foley,9788551005729,304,2020,47.21
Coragem,Raina Telgemeier,9788551006542,224,2020,83.78
A Convenção das Aves,Ransom Riggs,9788551006238,320,2020,47.39
Como o Cérebro Cria,David Eagleman,9788551006481,304,2020,60.61
1793,Niklas Natt och Dag,9788551006320,432,2020,66.1
Território Lovecraft,Matt Ruff,9788551006207,352,2020,56.46
Para Todos os Garotos que Já Amei,Jenny Han,9788580577266,320,2020,72.01
P.S.: Ainda Amo Você,Jenny Han,9788580578690,304,2020,73.15
O Livro de Líbero,Alfredo Nugent Setubal,9788551006177,256,2020,46.6
Terra Americana,Jeanine Cummins,9788551006528,416,2020,77.05
Você não merece ser feliz,Daniel Furlan,9788551006443,160,2020,55.94
O Livro De Líbero,Alfredo Nugent Setubal,9788551006177,256,2020,72.7
Princípios Para O Sucesso,Ray Dalio,9788551006467,168,2020,44.9
Black Hammer (Vol #4),Jeff Lemire,9788551006634,192,2020,97.92
A Convenção Das Aves,Ransom Riggs,9788551006245,320,2020,57.45
As Outras Pessoas,C.J. Tudor,9788551006504,304,2020,87.06
Uma Dor Tão Doce,David Nicholls,9788551005743,384,2020,96.54
A Grande Gripe,John M. Barry,9786555600162,608,2020,56.1
The Outsiders,S. E. Hinton,9788551006627,240,2020,78.73
SuperNormal,Greg James,9788551006719,336,2020,78.14
Inimigo Mortal,Michael T. Osterholm,9786555600131,304,2020,93.06
O Silêncio da Cidade Branca,Eva García Sáenz de Urturi,9788551006689,416,2020,57.54
A Casa Holandesa,Ann Patchett,9788551006184,345,2020,76.25
A Ultima Festa,Lucy Foley,nan,338,2020,99.13
A Tumba do Tirano,Rick Riordan,9788551005347,368,2020,56.09
As Outras Pessoas,C.J. Tudor,9788551006504,304,2020,67.49
Coraline,Neil Gaiman,9788551006757,224,2020,72.17
Sol da Meia-Noite,Stephenie Meyer,9786555600292,736,2020,95.83
Malorie,Josh Malerman,9786555600254,288,2020,51.65
Observações sobre um planeta nervoso,Matt Haig,9786555600209,320,2020,46.94
Onde os sonhos acontecem,Robert Iger,9788551006672,304,2020,79.48
A Vida Mentirosa dos Adultos,Elena Ferrante,9788551005910,430,2020,76.23
